Steps,25th Percentile,Median,75th Percentile
1000.0,631.75,1000.0,1000.0
2000.0,815.875,1000.0,1000.0
3000.0,654.9166666666666,859.5,957.1666666666666
4000.0,581.5,810.5,916.125
5000.0,522.55,717.5,881.85
6000.0,467.125,642.5833333333334,782.75
7000.0,420.89285714285717,581.7142857142857,719.7857142857143
8000.0,391.90625,545.4375,702.40625
9000.0,357.0,494.44444444444446,646.5277777777778
10000.0,328.1,454.3,614.8
11000.0,271.35,362.3,526.9
12000.0,177.2,268.7,436.275
13000.0,149.3,222.7,363.95
14000.0,116.95,161.7,290.975
15000.0,92.125,131.55,221.55
16000.0,77.325,110.55,202.45
17000.0,66.975,93.8,178.125
18000.0,51.2,68.4,125.225
19000.0,46.925,65.15,116.6
20000.0,43.175,59.55,90.4
21000.0,40.075,57.5,87.45
22000.0,38.025,59.2,89.675
23000.0,35.7,50.65,79.025
24000.0,35.025,50.3,80.425
25000.0,34.325,51.35,85.025
26000.0,33.45,50.4,83.05
27000.0,32.6,49.85,79.35
28000.0,33.5,50.8,89.65
29000.0,33.05,49.85,85.275
30000.0,34.0,51.4,84.95
31000.0,33.95,50.65,85.5
32000.0,33.925,47.3,85.575
33000.0,34.175,47.9,89.25
34000.0,36.075,49.7,92.1
35000.0,36.35,49.35,91.975
36000.0,35.525,48.0,88.825
37000.0,35.425,47.25,87.325
38000.0,35.3,49.0,80.625
39000.0,35.25,48.05,81.475
40000.0,34.125,46.15,79.575
41000.0,34.225,45.0,76.875
42000.0,34.15,46.6,76.425
43000.0,33.425,46.0,72.3
44000.0,31.35,42.8,68.725
45000.0,32.275,42.8,68.375
46000.0,33.075,43.35,69.975
47000.0,33.375,44.45,71.45
48000.0,32.25,42.15,71.325
49000.0,32.05,43.85,72.225
50000.0,32.025,44.2,73.375
51000.0,32.0,44.75,74.8
52000.0,30.8,42.05,71.75
53000.0,31.425,42.35,72.075
54000.0,31.45,43.0,78.15
55000.0,30.45,41.8,73.85
56000.0,30.25,43.05,83.725
57000.0,29.75,42.15,82.325
58000.0,30.225,41.7,79.35
59000.0,30.375,39.85,74.9
60000.0,30.175,39.95,76.35
61000.0,29.525,39.05,72.95
62000.0,30.575,40.9,74.375
63000.0,31.2,41.8,81.625
64000.0,32.8,43.95,75.975
65000.0,32.325,45.85,80.8
66000.0,32.625,45.15,73.0
67000.0,32.85,45.8,74.575
68000.0,32.775,46.15,82.05
69000.0,32.7,46.0,85.175
70000.0,34.025,49.3,86.975
71000.0,34.05,48.7,86.7
72000.0,33.5,46.9,81.875
73000.0,32.9,46.6,80.775
74000.0,32.225,45.7,79.25
75000.0,32.875,47.95,87.675
76000.0,32.325,46.75,84.75
77000.0,33.25,46.9,89.175
78000.0,32.625,46.1,81.475
79000.0,32.75,46.45,77.875
80000.0,31.8,43.0,77.3
81000.0,31.85,43.6,80.4
82000.0,32.05,44.55,84.825
83000.0,32.15,45.55,85.075
84000.0,32.025,46.25,88.025
85000.0,32.025,43.8,78.675
86000.0,31.825,43.6,77.4
87000.0,30.525,44.1,72.375
88000.0,30.825,44.15,71.9
89000.0,31.3,45.05,75.1
90000.0,31.175,44.7,72.05
91000.0,31.7,45.05,72.225
92000.0,31.025,44.95,73.525
93000.0,30.475,43.8,67.925
94000.0,29.325,40.8,64.3
95000.0,28.4,38.45,61.25
96000.0,28.825,40.0,65.45
97000.0,29.6,40.2,66.9
98000.0,29.65,40.6,68.7
99000.0,30.1,40.95,79.15
100000.0,31.4,42.1,80.475
101000.0,31.85,42.95,81.775
102000.0,32.8,42.45,75.775
103000.0,33.2,42.05,76.375
104000.0,34.525,44.5,77.775
105000.0,34.95,44.8,80.325
106000.0,35.5,45.1,80.875
107000.0,36.05,44.7,84.25
108000.0,36.2,44.25,86.3
109000.0,35.8,44.0,78.3
110000.0,34.6,43.05,79.175
111000.0,34.475,43.45,79.85
112000.0,37.0,49.7,88.325
113000.0,36.425,50.35,92.6
114000.0,35.875,49.4,92.4
115000.0,36.425,52.1,108.65
116000.0,35.6,50.85,104.775
117000.0,34.625,51.6,103.775
118000.0,36.175,54.6,107.75
119000.0,35.775,54.1,104.4
120000.0,36.25,55.05,102.55
121000.0,37.975,58.1,107.075
122000.0,35.175,51.15,97.675
123000.0,35.15,49.95,96.375
124000.0,34.4,48.3,93.825
125000.0,33.5,45.3,74.125
126000.0,34.3,46.3,84.325
127000.0,34.175,44.85,83.975
128000.0,32.325,41.7,76.35
129000.0,32.0,43.95,77.675
130000.0,32.775,45.05,78.95
131000.0,30.95,41.2,75.775
132000.0,30.4,41.4,76.7
133000.0,30.6,42.15,74.4
134000.0,33.125,45.55,82.65
135000.0,33.775,46.35,83.025
136000.0,34.35,46.4,73.325
137000.0,35.55,47.85,72.45
138000.0,35.825,48.1,71.325
139000.0,35.975,45.25,68.45
140000.0,35.0,44.2,68.875
141000.0,34.8,44.4,64.7
142000.0,35.75,49.6,84.15
143000.0,36.1,49.5,85.675
144000.0,34.25,46.95,81.5
145000.0,33.975,53.65,101.35
146000.0,34.075,55.7,107.375
147000.0,32.55,53.45,109.75
148000.0,33.1,56.15,129.8
149000.0,33.225,58.25,133.975
150000.0,33.275,58.8,132.475
151000.0,35.875,63.85,145.0
152000.0,34.775,59.15,128.5
153000.0,34.55,59.15,128.675
154000.0,34.675,60.5,126.925
155000.0,35.55,54.3,108.425
156000.0,34.4,52.35,109.8
157000.0,34.55,55.35,109.6
158000.0,34.925,55.45,97.475
159000.0,35.4,55.5,96.55
160000.0,35.35,54.15,96.1
161000.0,32.275,49.3,84.55
162000.0,33.625,50.05,84.65
163000.0,33.625,50.15,84.175
164000.0,37.25,57.5,95.075
165000.0,36.875,56.95,93.675
166000.0,36.975,55.95,87.4
167000.0,37.05,53.45,81.7
168000.0,38.225,58.7,93.1
169000.0,39.3,58.45,94.075
170000.0,39.2,61.15,97.6
171000.0,40.575,61.5,98.775
172000.0,41.25,64.7,104.625
173000.0,41.85,66.75,110.125
174000.0,38.55,59.0,102.475
175000.0,39.35,60.5,106.85
176000.0,38.55,60.55,106.675
177000.0,39.05,62.45,111.875
178000.0,37.25,54.95,93.925
179000.0,35.375,52.6,88.9
180000.0,35.25,49.8,85.85
181000.0,36.075,53.9,95.7
182000.0,34.775,50.45,88.675
183000.0,34.4,48.1,80.2
184000.0,33.375,46.85,76.1
185000.0,31.85,45.9,72.025
186000.0,32.35,45.95,70.5
187000.0,31.9,43.6,71.65
188000.0,31.525,43.65,71.25
189000.0,31.175,43.6,74.85
190000.0,30.725,42.75,73.35
191000.0,29.25,38.45,60.65
192000.0,29.825,44.1,73.75
193000.0,29.55,44.0,73.925
194000.0,29.725,43.4,73.7
195000.0,29.225,41.4,71.0
196000.0,28.775,42.75,77.625
197000.0,30.8,46.15,78.375
198000.0,30.85,46.9,81.225
199000.0,32.0,48.2,79.725
200000.0,33.25,50.1,81.0
201000.0,33.45,49.95,80.625
202000.0,33.0,44.5,72.5
203000.0,32.625,43.8,73.7
204000.0,32.6,46.2,77.05
205000.0,33.75,48.0,82.15
206000.0,35.65,47.4,77.525
207000.0,33.6,44.7,74.45
208000.0,33.675,43.75,72.45
209000.0,33.1,44.55,74.65
210000.0,32.6,43.85,74.325
211000.0,32.05,42.9,74.4
212000.0,31.925,43.65,69.825
213000.0,32.65,45.95,74.4
214000.0,34.875,49.2,76.6
215000.0,35.85,51.0,80.175
216000.0,34.475,49.35,78.2
217000.0,34.475,49.3,74.225
218000.0,34.7,51.75,91.5
219000.0,34.85,50.35,101.15
220000.0,34.825,50.15,101.775
221000.0,34.925,50.2,101.275
222000.0,34.425,47.75,98.075
223000.0,34.025,46.25,96.05
224000.0,31.475,40.85,95.075
225000.0,29.9,38.2,88.65
226000.0,30.175,39.45,90.675
227000.0,30.725,39.15,90.275
228000.0,30.925,38.1,75.25
229000.0,31.0,40.1,70.25
230000.0,31.475,41.25,78.75
231000.0,31.075,41.4,77.675
232000.0,31.1,41.5,78.675
233000.0,30.975,40.8,73.85
234000.0,31.45,42.1,70.1
235000.0,32.65,43.65,75.425
236000.0,33.225,44.85,77.6
237000.0,33.05,44.75,77.175
238000.0,33.15,44.25,77.625
239000.0,32.85,45.35,75.325
240000.0,32.0,45.7,66.625
241000.0,31.7,45.55,66.775
242000.0,32.15,46.5,68.975
243000.0,32.4,47.2,70.4
244000.0,32.625,46.45,71.6
245000.0,31.725,45.45,66.325
246000.0,30.7,44.05,66.375
247000.0,30.2,44.15,66.55
248000.0,30.625,44.35,66.2
249000.0,30.6,41.25,60.2
250000.0,30.825,41.4,64.025
