Steps,25th Percentile,Median,75th Percentile
1000.0,418.25,926.5,1000.0
2000.0,544.5,868.75,991.125
3000.0,456.0,745.3333333333334,985.5833333333334
4000.0,420.875,655.625,913.25
5000.0,385.05,581.7,833.4
6000.0,340.9166666666667,535.25,767.4166666666666
7000.0,307.7142857142857,502.2857142857143,713.6071428571429
8000.0,286.65625,458.25,676.4375
9000.0,265.3611111111111,420.6111111111111,624.6111111111111
10000.0,245.6,387.05,574.725
11000.0,210.425,301.4,485.35
12000.0,147.175,226.7,399.7
13000.0,123.0,181.2,312.775
14000.0,94.7,146.6,249.95
15000.0,74.075,124.15,205.725
16000.0,65.9,99.0,168.675
17000.0,57.95,72.2,136.125
18000.0,47.925,61.7,101.45
19000.0,41.975,55.0,88.575
20000.0,37.925,49.4,80.45
21000.0,34.675,46.55,75.95
22000.0,35.275,46.55,71.275
23000.0,34.175,46.05,66.1
24000.0,34.15,46.85,65.8
25000.0,33.575,47.0,68.8
26000.0,32.575,45.45,66.3
27000.0,34.1,47.7,67.225
28000.0,33.45,49.5,70.875
29000.0,33.225,48.35,69.425
30000.0,35.15,52.75,74.15
31000.0,34.725,53.15,76.2
32000.0,33.325,50.45,74.525
33000.0,33.9,50.8,74.525
34000.0,33.15,49.85,75.975
35000.0,33.25,47.15,72.4
36000.0,33.85,48.05,73.825
37000.0,32.35,49.0,78.5
38000.0,31.7,47.4,79.175
39000.0,31.575,49.7,86.625
40000.0,29.7,46.45,92.85
41000.0,29.75,49.45,96.95
42000.0,30.175,53.5,102.6
43000.0,30.375,53.3,102.1
44000.0,31.125,53.45,99.35
45000.0,31.35,54.35,108.125
46000.0,30.95,53.7,107.85
47000.0,31.325,50.95,100.95
48000.0,31.65,49.4,93.575
49000.0,31.225,46.65,85.275
50000.0,31.375,46.65,79.725
51000.0,31.925,45.3,77.475
52000.0,31.975,43.65,73.575
53000.0,32.575,45.55,75.5
54000.0,32.475,45.45,75.925
55000.0,32.425,46.4,68.05
56000.0,32.125,47.15,69.125
57000.0,32.15,47.9,75.625
58000.0,32.5,50.6,85.075
59000.0,33.15,51.1,88.475
60000.0,33.025,51.0,84.725
61000.0,32.8,48.65,79.35
62000.0,33.275,47.7,79.55
63000.0,32.05,45.8,77.9
64000.0,31.425,45.0,79.45
65000.0,31.725,43.4,77.75
66000.0,32.6,43.2,81.5
