# {"t_start": 1662808080.2531662, "env_id": "Office-single-v1"} 
r,l,t
0.0,14,0.001077
0.0,52,0.002284
0.0,9,0.002525
0.0,58,0.00388
0.0,8,0.004103
0.0,30,0.005122
0.0,35,0.006167
0.0,13,0.006504
0.0,26,0.007113
0.0,18,0.00755
0.0,121,0.010218
0.0,71,0.011802
0.0,15,0.01219
0.0,42,0.013413
0.0,105,0.016011
0.0,35,0.01683
0.0,69,0.018364
0.0,40,0.019284
0.0,58,0.020573
0.0,10,0.020832
0.0,124,0.023519
0.0,36,0.024338
0.0,55,0.025584
0.0,82,0.027496
0.0,100,0.029695
0.0,112,0.032233
0.0,31,0.032955
0.0,44,0.033961
0.0,20,0.034415
0.0,83,0.036291
0.0,114,0.038777
0.0,56,0.039992
0.0,80,0.041903
0.0,86,0.043769
0.0,23,0.044291
0.0,40,0.045497
0.0,107,0.049118
0.0,86,0.051961
0.0,130,0.055825
0.0,254,0.067104
0.0,8,0.067367
0.0,364,0.075305
0.0,43,0.076305
0.0,76,0.078193
0.0,164,0.082753
0.0,21,0.083296
0.0,245,0.088564
0.0,232,0.093601
0.0,17,0.094271
0.0,13,0.094625
0.0,16,0.095023
0.0,340,0.10269
0.0,12,0.103047
0.0,51,0.104235
1.0,140,0.107306
0.0,74,0.108925
0.0,280,0.115821
0.0,158,0.119243
1.0,345,0.126709
0.0,156,0.130926
0.0,21,0.131479
0.0,28,0.132137
0.0,284,0.138411
0.0,215,0.14307
0.0,99,0.145343
0.0,21,0.145884
0.0,122,0.149561
0.0,216,0.154286
0.0,24,0.154854
0.0,28,0.155509
0.0,223,0.16036
0.0,119,0.163284
0.0,187,0.167411
0.0,78,0.16916
0.0,38,0.170008
0.0,81,0.171776
0.0,4,0.171907
0.0,57,0.173158
0.0,107,0.175497
0.0,2,0.175586
0.0,80,0.177327
0.0,98,0.180075
0.0,112,0.183032
1.0,126,0.185792
0.0,159,0.189256
0.0,111,0.191714
1.0,119,0.194667
0.0,162,0.198229
0.0,222,0.203077
0.0,172,0.206842
0.0,8,0.20707
0.0,42,0.208015
0.0,35,0.208811
0.0,63,0.210203
1.0,190,0.215153
0.0,22,0.215713
0.0,19,0.216172
0.0,70,0.21771
0.0,123,0.220416
0.0,16,0.220802
0.0,37,0.221793
0.0,95,0.224624
1.0,182,0.229329
0.0,37,0.230226
1.0,317,0.237143
0.0,8,0.237415
0.0,52,0.238675
0.0,316,0.246262
0.0,64,0.248401
0.0,21,0.248963
0.0,20,0.249448
0.0,54,0.250669
