# {"t_start": 1662808057.366006, "env_id": "Office-single-v0"} 
r,l,t
0.0,2,0.001081
0.0,10,0.001696
0.0,30,0.002453
0.0,66,0.003955
0.0,6,0.004138
0.0,21,0.004678
0.0,39,0.005565
0.0,23,0.006105
0.0,25,0.00669
0.0,26,0.007504
0.0,76,0.009276
0.0,38,0.010196
0.0,45,0.011256
0.0,60,0.012605
0.0,55,0.013793
0.0,56,0.015315
0.0,73,0.016933
0.0,86,0.018934
0.0,15,0.0193
0.0,47,0.020321
0.0,82,0.022225
0.0,27,0.022839
0.0,85,0.025068
0.0,19,0.025532
0.0,85,0.027873
0.0,75,0.030141
0.0,34,0.031351
0.0,65,0.032965
0.0,78,0.036196
0.0,36,0.042741
0.0,75,0.045705
0.0,209,0.051319
0.0,108,0.054068
0.0,47,0.055486
0.0,53,0.056968
0.0,31,0.057855
0.0,156,0.062068
0.0,117,0.064826
0.0,44,0.066101
0.0,82,0.068638
0.0,72,0.070621
0.0,66,0.072137
0.0,115,0.074819
0.0,65,0.076321
0.0,56,0.077752
0.0,66,0.079253
0.0,16,0.079648
0.0,14,0.079992
0.0,4,0.080123
0.0,23,0.080668
0.0,91,0.08297
0.0,101,0.085296
0.0,18,0.085766
0.0,168,0.089548
0.0,33,0.09036
0.0,73,0.091994
0.0,321,0.09908
0.0,43,0.100154
0.0,40,0.101533
0.0,122,0.104534
0.0,27,0.105221
0.0,112,0.107747
0.0,46,0.108925
0.0,13,0.10927
0.0,94,0.111537
1.0,134,0.114583
0.0,8,0.115152
0.0,88,0.117135
0.0,16,0.117538
1.0,347,0.125232
0.0,81,0.127179
0.0,10,0.12745
0.0,195,0.131906
0.0,62,0.133607
0.0,17,0.134231
0.0,169,0.139568
0.0,166,0.143291
0.0,36,0.144127
0.0,220,0.149348
0.0,13,0.149717
0.0,13,0.150245
0.0,57,0.152179
0.0,79,0.154433
0.0,34,0.15523
1.0,144,0.158499
0.0,23,0.159058
0.0,194,0.163307
0.0,119,0.166512
1.0,138,0.170459
0.0,35,0.171298
1.0,428,0.180713
0.0,7,0.180934
0.0,308,0.188312
0.0,23,0.188905
0.0,11,0.1892
0.0,106,0.19166
0.0,170,0.195482
0.0,9,0.19574
0.0,98,0.197958
1.0,186,0.203064
0.0,14,0.203457
0.0,23,0.204008
1.0,142,0.207674
0.0,79,0.209854
1.0,177,0.21407
0.0,40,0.215198
0.0,69,0.216766
0.0,61,0.218122
0.0,61,0.219666
0.0,144,0.222842
0.0,219,0.22816
0.0,143,0.23125
0.0,227,0.23715
0.0,12,0.237492
0.0,106,0.239814
1.0,196,0.244122
0.0,180,0.248228
1.0,199,0.252712
0.0,15,0.253084
1.0,360,0.26119
0.0,40,0.262112
0.0,132,0.264959
0.0,56,0.267112
0.0,58,0.270277
0.0,244,0.278329
1.0,143,0.281852
0.0,97,0.28403
1.0,158,0.28787
0.0,65,0.289353
0.0,69,0.291079
0.0,72,0.292802
0.0,191,0.29711
0.0,72,0.298838
0.0,74,0.301301
0.0,74,0.303034
0.0,27,0.303674
0.0,63,0.305057
0.0,14,0.305402
1.0,151,0.308687
0.0,80,0.310456
1.0,150,0.313735
0.0,81,0.315874
0.0,91,0.318664
0.0,2,0.31881
0.0,135,0.322134
0.0,8,0.322399
1.0,124,0.325553
0.0,60,0.327156
0.0,6,0.327335
0.0,59,0.328898
0.0,50,0.330046
0.0,50,0.331168
0.0,123,0.334789
1.0,133,0.33813
0.0,10,0.338524
1.0,140,0.34162
0.0,37,0.34252
0.0,15,0.342886
1.0,284,0.349301
0.0,45,0.350339
0.0,107,0.352733
0.0,24,0.353279
0.0,146,0.356486
0.0,336,0.363634
0.0,37,0.364472
1.0,179,0.36945
0.0,41,0.370412
0.0,48,0.371469
1.0,250,0.37681
0.0,139,0.379809
0.0,70,0.38135
0.0,97,0.383633
0.0,31,0.384338
0.0,53,0.385601
0.0,11,0.385885
1.0,152,0.389128
0.0,112,0.391607
0.0,46,0.392622
0.0,64,0.393999
0.0,180,0.398013
0.0,31,0.398818
0.0,54,0.400046
0.0,136,0.404309
1.0,98,0.406465
1.0,266,0.412098
1.0,111,0.414513
0.0,115,0.417306
1.0,401,0.426145
0.0,39,0.427022
1.0,108,0.42935
1.0,370,0.438611
0.0,14,0.438999
0.0,106,0.441292
0.0,127,0.444027
0.0,54,0.445245
0.0,102,0.447451
0.0,18,0.447874
0.0,195,0.452342
0.0,40,0.453242
0.0,36,0.454034
0.0,56,0.45525
0.0,140,0.458356
0.0,95,0.460408
0.0,110,0.462789
0.0,29,0.463458
0.0,139,0.466492
0.0,10,0.466799
0.0,71,0.469817
0.0,64,0.471251
0.0,146,0.474432
0.0,193,0.478723
0.0,112,0.481187
0.0,238,0.486674
1.0,128,0.489434
0.0,34,0.490234
1.0,282,0.496378
0.0,131,0.49963
1.0,164,0.504249
0.0,92,0.506305
0.0,37,0.507145
1.0,129,0.509969
0.0,79,0.511827
0.0,419,0.521705
0.0,56,0.522943
0.0,50,0.5241
0.0,131,0.526879
1.0,65,0.528395
1.0,354,0.537134
1.0,155,0.540691
0.0,10,0.541015
0.0,7,0.541209
0.0,2,0.541293
0.0,71,0.542817
0.0,73,0.544403
0.0,13,0.544727
1.0,216,0.54963
0.0,37,0.551243
1.0,172,0.555921
1.0,87,0.558158
0.0,18,0.558701
0.0,73,0.560529
1.0,149,0.563961
0.0,255,0.570909
1.0,115,0.573469
1.0,193,0.577716
0.0,155,0.581168
0.0,200,0.585822
1.0,117,0.588342
1.0,258,0.59391
1.0,172,0.597552
1.0,155,0.602029
0.0,63,0.603997
0.0,196,0.608201
0.0,19,0.608652
1.0,166,0.612227
1.0,189,0.616609
0.0,182,0.620711
1.0,118,0.623303
0.0,91,0.625272
1.0,52,0.626418
1.0,305,0.632995
0.0,11,0.633287
0.0,94,0.637259
0.0,19,0.637774
1.0,293,0.644163
0.0,217,0.649171
0.0,68,0.651503
1.0,214,0.657033
1.0,201,0.661438
1.0,173,0.665519
0.0,96,0.669038
0.0,10,0.66934
1.0,42,0.670275
0.0,33,0.671013
1.0,167,0.674611
0.0,13,0.674945
1.0,166,0.678568
0.0,117,0.68115
1.0,194,0.685665
0.0,10,0.685942
1.0,304,0.692478
0.0,44,0.693447
1.0,167,0.696985
1.0,130,0.70005
0.0,4,0.700464
0.0,270,0.706877
0.0,25,0.707465
0.0,37,0.708289
0.0,30,0.708963
0.0,181,0.712831
0.0,10,0.713089
0.0,41,0.714002
0.0,16,0.714373
1.0,109,0.716936
0.0,63,0.718482
0.0,220,0.723247
1.0,89,0.725154
1.0,126,0.727825
0.0,5,0.727973
0.0,182,0.732147
0.0,42,0.733077
1.0,74,0.735908
1.0,246,0.741203
0.0,46,0.742232
1.0,68,0.74372
0.0,241,0.749104
1.0,134,0.752097
1.0,362,0.759817
0.0,17,0.760225
1.0,161,0.763635
0.0,15,0.764034
0.0,5,0.764234
0.0,166,0.768898
0.0,17,0.769473
0.0,55,0.770719
0.0,91,0.772702
1.0,91,0.774887
1.0,209,0.779404
0.0,10,0.779667
1.0,94,0.782025
0.0,123,0.785356
0.0,83,0.787425
0.0,14,0.787839
0.0,19,0.788361
0.0,10,0.788633
1.0,91,0.790865
0.0,110,0.793572
0.0,79,0.795601
0.0,153,0.79919
0.0,49,0.8005
1.0,109,0.803502
1.0,107,0.8059
0.0,4,0.806034
1.0,74,0.807696
0.0,298,0.814166
1.0,128,0.817432
0.0,352,0.825289
0.0,101,0.827475
1.0,72,0.829043
0.0,15,0.8294
0.0,149,0.832583
0.0,27,0.833205
1.0,34,0.834594
0.0,49,0.836185
1.0,60,0.837522
0.0,15,0.837884
0.0,53,0.839029
0.0,30,0.839694
0.0,116,0.842177
1.0,88,0.844053
1.0,46,0.845069
0.0,28,0.845732
0.0,29,0.846374
1.0,47,0.847407
0.0,16,0.847787
0.0,8,0.848019
0.0,58,0.849497
0.0,19,0.849954
1.0,245,0.855345
0.0,16,0.855739
1.0,58,0.857036
0.0,146,0.860164
0.0,239,0.865272
1.0,41,0.866202
1.0,257,0.872974
0.0,54,0.874187
0.0,20,0.874656
0.0,25,0.875218
1.0,154,0.878505
1.0,243,0.883884
0.0,8,0.884111
1.0,116,0.88675
0.0,51,0.887864
0.0,5,0.888007
1.0,47,0.889032
0.0,59,0.890356
0.0,62,0.89171
1.0,76,0.89335
1.0,88,0.895237
0.0,15,0.895596
1.0,177,0.899427
1.0,39,0.90065
0.0,2,0.900802
0.0,30,0.902175
1.0,242,0.907673
0.0,122,0.910297
0.0,37,0.911126
0.0,53,0.912326
1.0,35,0.913113
0.0,47,0.91414
0.0,61,0.915709
0.0,24,0.916267
1.0,192,0.920461
1.0,74,0.922058
0.0,30,0.922729
1.0,141,0.925787
1.0,74,0.927392
1.0,41,0.928293
0.0,168,0.931912
1.0,47,0.932992
0.0,163,0.937652
0.0,225,0.942514
0.0,138,0.945487
1.0,102,0.947696
